id,latitude,longitude,heading,speed_over_ground,last_ais_updated_at,created_at,updated_at,nav_status_code,vessel_id,course,collection_type,source,need_to_scan,velocity
3936347259,"39,10736167","119,1826367",511,"0,1",2021-03-24 2:40:27,2021-03-24 2:42:23,2021-03-24 2:42:23,15,15502,0,0,spire,,
3936359027,"39,10737167","119,18264",511,"0,3",2021-03-24 2:46:27,2021-03-24 2:48:21,2021-03-24 2:48:21,15,15502,"39,2",0,spire,,
3936373767,"39,10737833","119,1826367",511,"0,4",2021-03-24 2:50:06,2021-03-24 2:52:06,2021-03-24 2:52:06,15,15502,"159,9",0,spire,,
3936396854,"39,10737833","119,1826433",511,"0,4",2021-03-24 2:55:08,2021-03-24 2:56:35,2021-03-24 2:56:35,15,15502,"71,3",0,spire,,
3936403356,"39,10738167","119,182635",511,"0,2",2021-03-24 3:01:37,2021-03-24 3:02:24,2021-03-24 3:02:24,15,15502,0,0,spire,,
3936431387,"39,10737667","119,1826467",511,"0,2",2021-03-24 3:07:07,2021-03-24 3:11:02,2021-03-24 3:11:02,15,15502,"163,7",0,spire,,
3936444243,"39,107375","119,1826467",511,"0,3",2021-03-24 3:11:07,2021-03-24 3:12:00,2021-03-24 3:12:00,15,15502,"91,6",0,spire,,
3936476191,"39,10737833","119,1826367",511,"0,1",2021-03-24 3:19:07,2021-03-24 3:19:38,2021-03-24 3:19:38,15,15502,0,0,spire,,
3936513318,"39,10737667","119,182635",511,"0,1",2021-03-24 3:21:48,2021-03-24 3:23:34,2021-03-24 3:23:34,15,15502,0,0,spire,,
3936532518,"39,10737167","119,1826433",511,"0,1",2021-03-24 3:25:28,2021-03-24 3:26:27,2021-03-24 3:26:27,15,15502,0,0,spire,,
3936577489,"39,10738167","119,1826417",511,"0,1",2021-03-24 3:33:27,2021-03-24 3:36:25,2021-03-24 3:36:25,15,15502,0,0,spire,,
3936593747,"39,10666667","119,1816667",511,0,2021-03-24 1:53:09,2021-03-24 3:39:18,2021-03-24 3:39:18,15,15502,0,1,spire,,
3936599993,"39,10738167","119,182645",511,"0,1",2021-03-24 3:39:26,2021-03-24 3:40:57,2021-03-24 3:40:57,15,15502,0,0,spire,,
3936603045,"39,10737833","119,182635",511,"0,2",2021-03-24 3:41:08,2021-03-24 3:42:29,2021-03-24 3:42:29,15,15502,"26,8",0,spire,,
